index,,Lower Salary Estimate,Higher Salary Estimate,Rating,Company,Location,State,Headquarters,"State,Country",Siz,Founded,Type of ownership,Industry,Sector,Revenue,Competitors,Count of Competitors,Machine Learning,Count of Machine Learning,
44,Data Scientist,75.00,131.00,4.2,"Eversight
",Palo Alto, CA,Palo Alto, CA,51 to 200 ,2013,Company - Private,Enterprise Software & Network Solutions,Information Technology,$10 to $25 million ,None,0,No,,
45,"Computational Scientist, Machine Learning",75.00,131.00,4.1,"Pfizer
",Cambridge, MA,New York, NY,10000+ ,1849,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion ,None,0,Yes,,
46,Senior Data Scientist,75.00,131.00,4.8,"Klaviyo
",Boston, MA,Boston, MA,201 to 500 ,2012,Company - Private,Computer Hardware & Software,Information Technology,Unknown,None,0,No,,
47,Data Scientist,75.00,131.00,3.3,"Intellectual Ventures
",Bellevue, WA,Bellevue, WA,501 to 1000 ,2000,Company - Private,Investment Banking & Asset Management,Finance,Unknown,None,0,No,,
48,Data Scientist,75.00,131.00,3.7,"GovTech
",San Francisco, CA,Singapore, Singapore,1001 to 5000 ,2016,Government,Federal Agencies,Government,Unknown,None,0,No,,
49,Data Scientist,75.00,131.00,4.3,"Quick Base
",Cambridge, MA,Cambridge, MA,201 to 500 ,1999,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown,None,0,No,,
50,Data Analyst,75.00,131.00,4.8,"Giving Assistant
",San Francisco, CA,San Francisco, CA,1 to 50 ,2014,Company - Private,Advertising & Marketing,Business Services,$10 to $25 million ,None,0,No,,
51,Data Scientist,75.00,131.00,3.7,"Takeda
",Cambridge, MA,OSAKA, Japan,10000+ ,1781,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion ,"Novartis, Baxter, Pfizer",3,No,,
52,Data Scientist,75.00,131.00,4,"Netskope
",San Francisco, CA,Santa Clara, CA,501 to 1000 ,2012,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown,"Skyhigh Networks, Zscaler, NortonLifeLock",4,No,,
53,Jr. Data Engineer,75.00,131.00,4.8,"IT Concepts
",Remote,,Vienna, VA,51 to 200 ,2003,Company - Private,IT Services,Information Technology,$10 to $25 million ,None,0,No,,
54,E-Commerce Data Analyst,75.00,131.00,3.5,"iSeatz
",New Orleans, LA,New Orleans, LA,51 to 200 ,1999,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown,None,0,No,,
55,Data Analytics Engineer,75.00,131.00,3.7,"Summa Health System
",Akron, OH,Akron, OH,5001 to 10000 ,1926,Nonprofit Organization,Health Care Services & Hospitals,Health Care,$100 to $500 million ,None,0,No,,
56,Senior Data Scientist,75.00,131.00,3.5,"Benson Hill
",Saint Louis, MO,Saint Louis, MO,201 to 500 ,2012,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$1 to $5 million ,None,0,No,,
57,Product Data Scientist - Ads Data Science,75.00,131.00,4.1,"Twitter
",San Francisco, CA,San Francisco, CA,1001 to 5000 ,2006,Company - Public,Internet,Information Technology,$2 to $5 billion ,"Facebook, Google, Pinterest",3,No,,
58,Data Scientist,75.00,131.00,3.2,"Postmates - Corporate HQ
",San Francisco, CA,San Francisco, CA,1001 to 5000 ,2011,Company - Private,Express Delivery Services,Transportation & Logistics,Unknown,"DoorDash, Uber, Grubhub",3,No,,
59,Data Scientist - Intermediate,75.00,131.00,4.5,"Envision LLC
",Saint Louis, MO,Saint Louis, MO,201 to 500 ,1994,Company - Private,Staffing & Outsourcing,Business Services,$25 to $50 million ,None,0,No,,
60,Data Analyst,75.00,131.00,3.8,"Swiss Re
",Fort Wayne, IN,Zurich, Switzerland,10000+ ,1863,Company - Public,Insurance Agencies & Brokerages,Insurance,$10+ billion ,"Munich Re, Hannover RE, SCOR",5,No,,
61,Machine Learning Engineer,75.00,131.00,4.5,"Systems & Technology Research
",Woburn, MA,Woburn, MA,201 to 500 ,2010,Company - Private,Aerospace & Defense,Aerospace & Defense,$100 to $500 million ,None,0,Yes,,
62,Data Scientist,79.00,131.00,3.5,"iRobot
",Bedford, MA,Bedford, MA,1001 to 5000 ,1990,Company - Public,Consumer Electronics & Appliances Stores,Retail,$1 to $2 billion ,None,0,No,,
63,Data Scientist,79.00,131.00,4.2,"HG Insights
",Santa Barbara, CA,Santa Barbara, CA,51 to 200 ,2010,Company - Private,Computer Hardware & Software,Information Technology,Unknown,None,0,No,,
64,Global Data Analyst,79.00,131.00,3.8,"Dermalogica
",Carson, CA,Carson, CA,201 to 500 ,1986,Subsidiary or Business Segment,Consumer Products Manufacturing,Manufacturing,$100 to $500 million ,"IMAGE Skincare, Aveda, Kiehl's",4,No,,
65,Data Engineer,79.00,131.00,3.7,"Bayview Asset Management
",Coral Gables, FL,Coral Gables, FL,1001 to 5000 ,1995,Company - Private,Investment Banking & Asset Management,Finance,$100 to $500 million ,None,0,No,,
66,Data Scientist,79.00,131.00,3.7,"Via Transportation
",New York, NY,New York, NY,501 to 1000 ,2012,Company - Private,Internet,Information Technology,Unknown,None,0,No,,
67,Data Scientist,79.00,131.00,4,"Grid Dynamics
",Santa Clara, CA,San Ramon, CA,1001 to 5000 ,2006,Company - Private,Enterprise Software & Network Solutions,Information Technology,$50 to $100 million ,"Luxoft, EPAM, Capgemini Invent",4,No,,
68,Data & Machine Learning Scientist,79.00,131.00,3.3,"Tempus Labs
",Chicago, IL,Chicago, IL,501 to 1000 ,2015,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Unknown,None,0,Yes,,
69,Data Scientist - Machine Learning,79.00,131.00,2.5,"CareDx
",Brisbane, CA,Brisbane, CA,1 to 50 ,Unknown,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Unknown,Sequenom,1,Yes,,
70,Data Engineer,79.00,131.00,4.2,"IZEA
",Winter Park, FL,Winter Park, FL,51 to 200 ,2006,Company - Public,Advertising & Marketing,Business Services,$25 to $50 million ,"Linqia, Collective Bias",3,No,,
71,"Data Scientist, Applied Machine Learning - Bay Area",79.00,131.00,3.3,"Tempus Labs
",Redwood City, CA,Chicago, IL,501 to 1000 ,2015,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Unknown,None,0,Yes,,
72,Principal Data Scientist,79.00,131.00,4,"Autodesk
",San Francisco, CA,San Rafael, CA,5001 to 10000 ,1982,Company - Public,Computer Hardware & Software,Information Technology,$2 to $5 billion ,None,0,No,,
73,Business Data Analyst,79.00,131.00,3.7,"Caterpillar
",Peoria, IL,Deerfield, IL,10000+ ,1925,Company - Public,Industrial Manufacturing,Manufacturing,$10+ billion ,"John Deere, Komatsu, CNH Industrial",5,No,,
74,Purification Scientist,79.00,131.00,4.9,"New England Biolabs
",Ipswich, MA,Ipswich, MA,201 to 500 ,1974,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Unknown,"Thermo Fisher Scientific, Enzymatics, Illumina",5,No,,
75,Data Analyst,79.00,131.00,3.4,"Allied Solutions
",Carmel, IN,Carmel, IN,1001 to 5000 ,2001,Subsidiary or Business Segment,Insurance Agencies & Brokerages,Insurance,$100 to $500 million ,"CUNA Mutual, SWBC, Overby-Seawell",4,No,,
76,"Data Engineer, Enterprise Analytics",79.00,131.00,3.1,"Healthfirst
",New York, NY,New York, NY,1001 to 5000 ,1993,Nonprofit Organization,Insurance Carriers,Insurance,Unknown,"EmblemHealth, UnitedHealth Group, Aetna",4,No,,
77,Data Scientist,79.00,131.00,3.5,"The Knot Worldwide
",Washington, DC,Chevy Chase, MD,1001 to 5000 ,2019,Company - Private,Internet,Information Technology,Unknown,Zola Registry,2,No,,
78,Data Scientist,79.00,131.00,2.9,"IFG Companies
",New York, NY,Hartford, CT,201 to 500 ,1985,Company - Private,Insurance Carriers,Insurance,Unknown,"Colony Specialty, Markel, RLI",4,No,,
79,Data Scientist 3,79.00,131.00,3.3,"Amyris
",Emeryville, CA,Emeryville, CA,201 to 500 ,2003,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$100 to $500 million ,None,0,No,,
80,"Real World Science, Data Scientist",79.00,131.00,4,"AstraZeneca
",Gaithersburg, MD,Cambridge, United Kingdom,10000+ ,1913,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion ,"Roche, GlaxoSmithKline, Novartis",3,No,,
81,Data Scientist,79.00,131.00,3.6,"Powertek
",Washington, DC,Rockville, MD,51 to 200 ,2001,Company - Private,IT Services,Information Technology,$25 to $50 million ,None,0,No,,
82,Data Engineer,79.00,131.00,4.7,"Object Partners
",Saint Louis, MO,Minneapolis, MN,51 to 200 ,1996,Company - Private,Consulting,Business Services,$25 to $50 million ,"Solution Design Group, Intertech (Minnesota)",5,No,,
83,Data Scientist - Image And Video Analytics,79.00,131.00,4.9,"The Mom Project
",Longmont, CO,Chicago, IL,1 to 50 ,2016,Company - Private,Staffing & Outsourcing,Business Services,Unknown,None,0,No,,
84,Data Scientist,79.00,131.00,4.3,"Lightspeed Systems
",Austin, TX,Austin, TX,51 to 200 ,1999,Company - Private,Computer Hardware & Software,Information Technology,$25 to $50 million ,None,0,No,,
85,Data Science Manager,79.00,131.00,4,"Stripe
",San Francisco, CA,San Francisco, CA,1001 to 5000 ,2010,Company - Private,Internet,Information Technology,Unknown,"Braintree, Authorize.Net, PayPal",3,No,,
86,Data Analyst,79.00,131.00,2.6,"Comprehensive Healthcare
",Yakima, WA,Yakima, WA,501 to 1000 ,1971,Nonprofit Organization,Health Care Services & Hospitals,Health Care,Unknown,None,0,No,,
87,Data Scientist / Applied Mathematician,79.00,131.00,4.5,"Fullpower Technologies, Inc.
",Santa Cruz, CA,Santa Cruz, CA,51 to 200 ,2003,Company - Private,Computer Hardware & Software,Information Technology,$10 to $25 million ,None,0,No,,
88,Machine Learning Engineer,79.00,131.00,4.8,"Klaviyo
",Boston, MA,Boston, MA,201 to 500 ,2012,Company - Private,Computer Hardware & Software,Information Technology,Unknown,None,0,Yes,,
89,Data Scientist,79.00,131.00,3.9,"Mars
",United States,,Mc Lean, VA,10000+ ,1911,Company - Private,Food & Beverage Manufacturing,Manufacturing,$10+ billion ,None,0,No,,
90,Patient Safety- Associate Data Scientist,79.00,131.00,4,"AstraZeneca
",Gaithersburg, MD,Cambridge, United Kingdom,10000+ ,1913,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion ,"Roche, GlaxoSmithKline, Novartis",3,No,,
91,Machine Learning Engineer,79.00,131.00,4.4,"NuWave Solutions
",Springfield, VA,Mc Lean, VA,51 to 200 ,1999,Company - Private,IT Services,Information Technology,$5 to $10 million ,None,0,Yes,,
92,Senior Data Scientist,79.00,131.00,4.2,"ManTech
",Alexandria, VA,Herndon, VA,5001 to 10000 ,1968,Company - Public,Research & Development,Business Services,$1 to $2 billion ,None,0,No,,
93,(Sr.) Data Scientist -,79.00,131.00,3.6,"Merrick Bank
",Utah,,South Jordan, UT,201 to 500 ,1997,Company - Private,Banks & Credit Unions,Finance,Unknown,None,0,No,,
94,Data Scientist,99.00,132.00,3.4,"Mathematica Policy Research
",Washington, DC,Princeton, NJ,1001 to 5000 ,1986,Company - Private,Consulting,Business Services,$100 to $500 million ,None,0,No,,
95,Staff Data Scientist - Analytics,99.00,132.00,4.4,"Intuit - Data
",San Diego, CA,Mountain View, CA,5001 to 10000 ,1983,Company - Public,Computer Hardware & Software,Information Technology,$2 to $5 billion ,"Square, PayPal, H&R Block",4,No,,
96,Data Analytics Engineer,99.00,132.00,3.5,"QOMPLX
",Reston, VA,Reston, VA,51 to 200 ,2015,Company - Private,Enterprise Software & Network Solutions,Information Technology,$10 to $25 million ,None,0,No,,
97,Data Scientist,99.00,132.00,3.9,"Mars
",New York, NY,Mc Lean, VA,10000+ ,1911,Company - Private,Food & Beverage Manufacturing,Manufacturing,$10+ billion ,None,0,No,,
98,Senior Data Scientist,99.00,132.00,3.8,"GutCheck
",Denver, CO,Denver, CO,51 to 200 ,2009,Company - Private,Advertising & Marketing,Business Services,$10 to $25 million ,"Nielsen, Zappi, SurveyMonkey",3,No,,
99,Applied Technology Researcher / Data Scientist,99.00,132.00,3.5,"Inter-American Development Bank
",Washington, DC,Washington, DC,1001 to 5000 ,1959,Other Organization,Banks & Credit Unions,Finance,$10+ billion ,"The World Bank, IMF",4,No,,
100,Data Scientist,99.00,132.00,4.9,"Avlino
",New Jersey,,Holmdel, NJ,1 to 50 ,2013,Company - Private,Enterprise Software & Network Solutions,Information Technology,Less than $1 million ,None,0,No,,
101,Machine Learning Engineer,99.00,132.00,4.4,"Stratagem Group
",Aurora, CO,Aurora, CO,1 to 50 ,2007,Company - Private,Aerospace & Defense,Aerospace & Defense,Unknown,None,0,Yes,,
102,Health Data Scientist - Biomedical/Biostats,99.00,132.00,4.1,"Evidation
",Santa Barbara, CA,San Mateo, CA,51 to 200 ,2012,Company - Private,Internet,Information Technology,Unknown,None,0,No,,
103,Senior Data Scientist,99.00,132.00,4,"Autodesk
",San Francisco, CA,San Rafael, CA,5001 to 10000 ,1982,Company - Public,Computer Hardware & Software,Information Technology,$2 to $5 billion ,None,0,No,,
104,Staff Data Scientist,99.00,132.00,4.4,"Intuit - Data
",San Diego, CA,Mountain View, CA,5001 to 10000 ,1983,Company - Public,Computer Hardware & Software,Information Technology,$2 to $5 billion ,"Square, PayPal, H&R Block",4,No,,
105,Data Scientist,99.00,132.00,3.8,"Tecolote Research
",Hill AFB, UT,Goleta, CA,501 to 1000 ,1973,Company - Private,Aerospace & Defense,Aerospace & Defense,$50 to $100 million ,None,0,No,,
106,Sr Data Engineer (Sr Bi Developer),99.00,132.00,3.2,"Tivity Health
",Chandler, AZ,Franklin, TN,501 to 1000 ,1981,Company - Public,Health Care Services & Hospitals,Health Care,Unknown,None,0,No,,
107,Data Engineer,99.00,132.00,2.9,"hc1
",Indianapolis, IN,Indianapolis, IN,51 to 200 ,2011,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10 to $25 million ,None,0,No,,
108,Lead Data Scientist,99.00,132.00,4.1,"HP Inc.
",San Diego, CA,Palo Alto, CA,10000+ ,1939,Company - Public,Computer Hardware & Software,Information Technology,Unknown,None,0,No,,
109,Data Scientist,99.00,132.00,3.7,"SAIC
",Chantilly, VA,Reston, VA,10000+ ,2013,Company - Public,Enterprise Software & Network Solutions,Information Technology,$5 to $10 million ,"Booz Allen Hamilton, CACI International",5,No,,
110,Rfp Data Analyst,99.00,132.00,3.2,"AllianceBernstein
",Nashville, TN,New York, NY,1001 to 5000 ,1967,Company - Public,Investment Banking & Asset Management,Finance,$2 to $5 billion ,None,0,No,,
111,Data Analyst,99.00,132.00,4.9,"Big Huge Games
",Timonium, MD,Lutherville Timonium, MD,51 to 200 ,2013,Subsidiary or Business Segment,Video Games,Media,Unknown,None,0,No,,
112,Data Scientist,99.00,132.00,3.5,"Maxar Technologies
",Herndon, VA,Westminster, CO,5001 to 10000 ,Unknown,Company - Public,Aerospace & Defense,Aerospace & Defense,$2 to $5 billion ,None,0,No,,
113,Data Engineer,99.00,132.00,5,"Phantom AI
",Burlingame, CA,Burlingame, CA,1 to 50 ,2016,Company - Private,Computer Hardware & Software,Information Technology,Unknown,None,0,No,,
114,Data Scientist,99.00,132.00,4,"Noblis
",Reston, VA,Reston, VA,1001 to 5000 ,1996,Nonprofit Organization,Consulting,Business Services,$100 to $500 million ,"Booz Allen Hamilton, SAIC, LMI",5,No,,
115,Data Scientist,99.00,132.00,3.6,"Spring Health
",New York, NY,New York, NY,1 to 50 ,2016,Company - Private,Health Care Services & Hospitals,Health Care,Unknown,None,0,No,,
116,Software Engineer - Data Science,99.00,132.00,4,"ClearEdge
",Annapolis Junction, MD,Annapolis Junction, MD,51 to 200 ,2002,Company - Private,Computer Hardware & Software,Information Technology,$5 to $10 million ,None,0,No,,
117,Data Analyst/Engineer,99.00,132.00,3.2,"AllianceBernstein
",Nashville, TN,New York, NY,1001 to 5000 ,1967,Company - Public,Investment Banking & Asset Management,Finance,$2 to $5 billion ,None,0,No,,
118,Ngs Scientist,99.00,132.00,5,"Arsenal Biosciences
",South San Francisco, CA,South San Francisco, CA,51 to 200 ,2019,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Unknown,None,0,No,,
119,Data Engineer,99.00,132.00,4.8,"GetWellNetwork
",Bethesda, MD,Bethesda, MD,201 to 500 ,2000,Company - Private,Health Care Services & Hospitals,Health Care,$50 to $100 million ,"Epic, CipherHealth",2,No,,
120,Data Scientist,99.00,132.00,4.5,"TACG Solutions
",Dayton, OH,Beavercreek, OH,51 to 200 ,2006,Company - Private,Consulting,Business Services,Unknown,"Copper River Shared Services, Chenega Corporation, Deloitte",7,No,,
121,Senior Data Engineer,99.00,132.00,4.7,"Scoop
",San Francisco, CA,San Francisco, CA,51 to 200 ,2015,Company - Private,Internet,Information Technology,Unknown,None,0,No,,
122,Senior Data Scientist,99.00,132.00,4.5,"Novetta
",Herndon, VA,Mc Lean, VA,501 to 1000 ,2012,Company - Private,Enterprise Software & Network Solutions,Information Technology,$100 to $500 million ,"Leidos, CACI International, Booz Allen Hamilton",6,No,,
123,Data Engineer,99.00,132.00,4.2,"IZEA
",Winter Park, FL,Winter Park, FL,51 to 200 ,2006,Company - Public,Advertising & Marketing,Business Services,$25 to $50 million ,"Linqia, Collective Bias",3,No,,
124,Business Intelligence Analyst,99.00,132.00,3.4,"Montway Inc
",Schaumburg, IL,Schaumburg, IL,51 to 200 ,2006,Company - Private,Shipping,Transportation & Logistics,Unknown,None,0,No,,
125,Sr. Ml/Data Scientist - Ai/Nlp/Chatbot,99.00,132.00,3.8,"Juniper Networks
",Cupertino, CA,Sunnyvale, CA,5001 to 10000 ,1996,Company - Public,Telecommunications Services,Telecommunications,$2 to $5 billion ,None,0,No,,
